P_used, P_req, V_h, V_c, Re_h, Re_c, U [W/(m*degC)]
135, 174, 0.015045141300911058, 0.007122458818597582, 1270, 405, 148.1981981981982
136, 174, 0.01493451526193377, 0.0070700877978726, 1270, 405, 147.576099210823
137, 174, 0.014825504201627685, 0.007018481317596158, 1270, 405, 146.50684931506848
138, 173, 0.014718073011760816, 0.006967622757323722, 1270, 405, 145.88571428571427
139, 173, 0.01461218759441002, 0.006917495974896932, 1270, 405, 144.8148148148148
140, 173, 0.01450781482587852, 0.006868085289361954, 1270, 405, 144.19466975666282
141, 172, 0.014404922522148884, 0.006819375464614706, 1270, 405, 143.57308584686774
142, 172, 0.014303479405795723, 0.006771351693737138, 1270, 405, 142.95005807200928
143, 172, 0.014203455074286662, 0.006723999583990724, 1270, 405, 141.88235294117646
144, 171, 0.014104819969604117, 0.0066773051424352334, 1270, 405, 141.2603062426384
145, 171, 0.014007545349124087, 0.006631254762142576, 1270, 405, 140.8104886769964
146, 170, 0.01391160325769173, 0.0065858352089772166, 1270, 405, 140.1909307875895
147, 170, 0.013816966500836685, 0.006541033608916147, 1270, 405, 139.11729141475212
148, 170, 0.013723608619074274, 0.00649683743588293, 1270, 405, 138.49878934624695
149, 170, 0.013631503863241561, 0.006453234500071635, 1270, 405, 137.87878787878788
150, 169, 0.013540627170819951, 0.006410212936737824, 1270, 405, 137.25728155339806
151, 168, 0.013450954143198628, 0.006367761195434925, 1270, 405, 137.25728155339806
152, 168, 0.013362461023835478, 0.006325868029675484, 1270, 405, 136.1869618696187
153, 168, 0.013275124677274461, 0.006284522486997866, 1270, 405, 135.5665024630542
154, 168, 0.013188922568980473, 0.006243713899419958, 1270, 405, 134.4943820224719
155, 168, 0.013103832745954792, 0.00620343187426241, 1270, 405, 133.875
156, 168, 0.013019833818096108, 0.0061636662853248305, 1270, 405, 133.2540675844806
157, 168, 0.012936904940273839, 0.0061244072643991945, 1270, 405, 132.1827411167513
158, 167, 0.012855025795082232, 0.006085645193105529, 1270, 405, 132.1827411167513
159, 167, 0.012774176576245237, 0.006047370695035683, 1270, 405, 131.56289707750952
160, 166, 0.012694337972643705, 0.00600957462819171, 1270, 405, 130.941475826972
161, 166, 0.012615491152937842, 0.005972248077706047, 1270, 405, 130.3184713375796
162, 167, 0.012537617750759214, 0.005935382348831318, 1270, 405, 129.25064599483204
163, 165, 0.012460699850447808, 0.005898968960188182, 1270, 405, 129.25064599483204
164, 165, 0.01238471997331093, 0.0058629996372602045, 1270, 405, 128.6287192755498
165, 166, 0.012309661064381774, 0.005827466306125294, 1270, 405, 127.55905511811024
166, 165, 0.012235506479656582, 0.005792361087413696, 1270, 405, 126.93823915900131
